time,ACCET
1980-01-01 00:00:00,22.982853261221152
1980-01-01 03:00:00,0.00021047116370670493
1980-01-01 06:00:00,-0.002322244062759585
1980-01-01 09:00:00,-0.0059314600680980475
1980-01-01 12:00:00,-0.010912497051167713
1980-01-01 15:00:00,-0.018440257893352976
1980-01-01 18:00:00,0.006509572420357374
1980-01-01 21:00:00,0.07202635284266687
1980-01-02 00:00:00,0.09091260915435072
1980-01-02 03:00:00,0.07817170081414218
1980-01-02 06:00:00,0.06208899329347795
1980-01-02 09:00:00,0.04440816273756886
1980-01-02 12:00:00,0.027409996767838344
1980-01-02 15:00:00,0.010518774749796457
1980-01-02 18:00:00,0.029393528037922743
1980-01-02 21:00:00,0.09816805584479209
1980-01-03 00:00:00,0.11180585834852351
1980-01-03 03:00:00,0.09204662505101072
1980-01-03 06:00:00,0.07379007386061169
1980-01-03 09:00:00,0.05794847426936688
1980-01-03 12:00:00,0.04571939353180874
1980-01-03 15:00:00,0.03616482271704528
1980-01-03 18:00:00,0.06858227925473898
1980-01-03 21:00:00,0.15711205416283877
1980-01-04 00:00:00,0.20217930598285933
1980-01-04 03:00:00,0.21883921472520407
1980-01-04 06:00:00,0.22527623837322314
1980-01-04 09:00:00,0.22084233530273303
1980-01-04 12:00:00,0.21046843031496845
1980-01-04 15:00:00,0.194034709738815
1980-01-04 18:00:00,0.21248692622101498
1980-01-04 21:00:00,0.2894477344959095
1980-01-05 00:00:00,0.3235626273019391
1980-01-05 03:00:00,0.3391245098054871
1980-01-05 06:00:00,0.3640227473501719
1980-01-05 09:00:00,0.39010568242996346
1980-01-05 12:00:00,0.42239592236058987
1980-01-05 15:00:00,0.45581869760068566
1980-01-05 18:00:00,0.5269840320463706
1980-01-05 21:00:00,0.6548833036998594
1980-01-06 00:00:00,0.7484683727332024
1980-01-06 03:00:00,0.8187704109554583
1980-01-06 06:00:00,0.8833711634720898
1980-01-06 09:00:00,0.9435808360554355
1980-01-06 12:00:00,0.9894342796736527
1980-01-06 15:00:00,1.0264756100075199
1980-01-06 18:00:00,1.0940520011032449
1980-01-06 21:00:00,1.1979345540470543
1980-01-07 00:00:00,1.248274404635366
1980-01-07 03:00:00,1.2584157435428875
1980-01-07 06:00:00,1.2664183173079586
1980-01-07 09:00:00,1.2723588886818449
1980-01-07 12:00:00,1.2758018233565493
1980-01-07 15:00:00,1.2863813021811594
1980-01-07 18:00:00,1.3300047537077222
1980-01-07 21:00:00,1.420489814837963
1980-01-08 00:00:00,1.4697480395378968
1980-01-08 03:00:00,1.4710784040742917
1980-01-08 06:00:00,1.4734295765329288
1980-01-08 09:00:00,1.4760137706370982
1980-01-08 12:00:00,1.4731750294274717
1980-01-08 15:00:00,1.4702988179727916
1980-01-08 18:00:00,1.513426956138445
1980-01-08 21:00:00,1.604404711129181
1980-01-09 00:00:00,1.6509126881769558
1980-01-09 03:00:00,1.653093137543387
1980-01-09 06:00:00,1.6618149350091118
1980-01-09 09:00:00,1.671386247848261
1980-01-09 12:00:00,1.6773443584857897
1980-01-09 15:00:00,1.6849668769081718
1980-01-09 18:00:00,1.7548754206117012
1980-01-09 21:00:00,1.883403827929863
1980-01-10 00:00:00,1.9503314940534706
1980-01-10 03:00:00,1.965992803681432
1980-01-10 06:00:00,1.9852274535481909
1980-01-10 09:00:00,2.0001750062589716
1980-01-10 12:00:00,2.0243523117331677
1980-01-10 15:00:00,2.0674549382426144
1980-01-10 18:00:00,2.1935137261268927
1980-01-10 21:00:00,2.3995570230031924
1980-01-11 00:00:00,2.537402765511658
1980-01-11 03:00:00,2.5951397435954173
1980-01-11 06:00:00,2.6044842988117636
1980-01-11 09:00:00,2.5953251586682065
1980-01-11 12:00:00,2.587052093012549
1980-01-11 15:00:00,2.5808971781699963
1980-01-11 18:00:00,2.6112823579516387
1980-01-11 21:00:00,2.7028598646458812
1980-01-12 00:00:00,2.762971818474649
1980-01-12 03:00:00,2.7740930783196878
1980-01-12 06:00:00,2.773618948744736
1980-01-12 09:00:00,2.7599345646901625
1980-01-12 12:00:00,2.746998560514765
1980-01-12 15:00:00,2.745587674813467
1980-01-12 18:00:00,2.8079207372107455
1980-01-12 21:00:00,2.9019382515950594
1980-01-13 00:00:00,2.9377983011334905
1980-01-13 03:00:00,2.9386212798288067
1980-01-13 06:00:00,2.9416978261195044
1980-01-13 09:00:00,2.9444796216679547
1980-01-13 12:00:00,2.9500528935272556
1980-01-13 15:00:00,2.960282953774889
1980-01-13 18:00:00,3.050402082086413
1980-01-13 21:00:00,3.184928120330959
1980-01-14 00:00:00,3.2381495352661016
1980-01-14 03:00:00,3.2323810536802897
1980-01-14 06:00:00,3.221448511756388
1980-01-14 09:00:00,3.2135266869388643
1980-01-14 12:00:00,3.2065564241195927
1980-01-14 15:00:00,3.202189033581356
1980-01-14 18:00:00,3.2882499862948293
1980-01-14 21:00:00,3.451190884444327
1980-01-15 00:00:00,3.515204185520266
1980-01-15 03:00:00,3.5001031073069546
1980-01-15 06:00:00,3.476744452657826
1980-01-15 09:00:00,3.4502188220080514
1980-01-15 12:00:00,3.42645186696829
1980-01-15 15:00:00,3.4059922020383118
1980-01-15 18:00:00,3.4329888871973346
1980-01-15 21:00:00,3.5094051810600635
1980-01-16 00:00:00,3.535917941990412
1980-01-16 03:00:00,3.526562794881087
1980-01-16 06:00:00,3.515102366678083
1980-01-16 09:00:00,3.500812194679919
1980-01-16 12:00:00,3.4882873381782122
1980-01-16 15:00:00,3.4769556071694665
1980-01-16 18:00:00,3.5167931972497226
1980-01-16 21:00:00,3.609558134870808
